journal year, journal position, references
1998, 668, 693
1996, 496, 467
2000, 136, 359
1997, 770, 345
1997, 554, 278
1997, 153, 260
1990, 198, 228
2000, 1268, 220
1998, 1118, 209
1997, 943, 194
1992, 254, 168
1997, 926, 167
2006, 708, 167
2002, 676, 165
2000, 550, 146
1996, 110, 143
1994, 509, 140
1997, 769, 138
1994, 591, 137
1999, 1255, 135
1998, 887, 130
1989, 192, 128
1999, 1178, 125
1994, 96, 122
1997, 272, 121
1998, 1014, 121
1998, 756, 119
1995, 163, 118
1995, 17, 118
1996, 775, 117
1999, 931, 112
1998, 1126, 111
2002, 1271, 111
1997, 679, 110
2000, 1041, 103
1994, 3, 102
1999, 778, 102
2001, 64, 99
2004, 959, 99
1997, 776, 98
1993, 127, 96
1988, 324, 96
1997, 471, 95
1994, 163, 94
2002, 1679, 92
1993, 646, 90
2000, 1037, 90
1999, 636, 89
2000, 1315, 87
1999, 360, 86
2002, 253, 86
1996, 189, 85
1997, 604, 82
2002, 984, 82
1994, 547, 81
1999, 95, 81
2000, 852, 81
2000, 1216, 81
1995, 654, 78
1999, 483, 77
1999, 802, 76
2000, 1104, 76
1997, 885, 75
1994, 627, 74
1997, 945, 74
2000, 489, 74
2004, 2135, 74
1997, 484, 73
2006, 1119, 73
1997, 348, 70
1997, 754, 69
1996, 703, 68
2010, 1228, 68
2006, 1217, 68
1990, 206, 67
2001, 298, 67
2011, 622, 66
2001, 1194, 66
1995, 515, 65
1997, 944, 65
2000, 552, 65
1991, 496, 64
1997, 1083, 64
1997, 661, 64
2000, 958, 64
2008, 1505, 64
2005, 1538, 64
1997, 882, 63
1996, 350, 62
2001, 459, 62
1997, 939, 61
1989, 178, 61
1995, 417, 61
2009, 1241, 61
2000, 948, 60
2000, 118, 60
2000, 1027, 60
1990, 464, 59
1995, 25, 59
1987, 123, 59
1997, 934, 59
2000, 718, 59
1998, 717, 59
2004, 2703, 59
2002, 2074, 59
1996, 402, 58
2003, 391, 58
2000, 306, 57
2002, 1673, 57
2003, 874, 57
1982, 210, 56
1991, 422, 56
1996, 561, 56
2009, 97, 56
1991, 425, 55
1994, 419, 55
1996, 113, 55
1997, 592, 55
1997, 883, 55
2000, 69, 54
2000, 1193, 54
2008, 1056, 54
1994, 2, 53
1991, 24, 53
1997, 752, 53
2000, 239, 53
2001, 1189, 53
1990, 504, 52
1999, 1256, 52
2003, 1302, 52
1991, 450, 51
1994, 368, 51
1991, 464, 51
1997, 741, 51
2000, 703, 51
2000, 816, 51
1999, 532, 51
2001, 27, 51
2003, 1188, 51
1983, 33, 50
1988, 132, 50
1995, 426, 50
1999, 485, 50
2000, 270, 50
2006, 1600, 50
1996, 647, 49
1998, 1063, 49
1995, 433, 48
1993, 50, 47
1996, 367, 47
1990, 306, 47
1991, 444, 47
1997, 940, 47
1989, 175, 47
1995, 601, 47
1998, 1115, 47
1995, 640, 47
2000, 1249, 47
2011, 654, 47
2005, 732, 47
2005, 1199, 47
2004, 1264, 47
1982, 214, 46
1994, 602, 46
1996, 686, 46
2001, 1071, 46
1996, 405, 45
1991, 408, 45
1996, 622, 45
1999, 228, 45
1996, 409, 45
2000, 1157, 45
2003, 2255, 45
1991, 92, 44
2000, 580, 44
1999, 875, 44
2000, 1314, 44
2000, 1191, 44
2004, 1808, 44
2002, 1387, 44
1993, 212, 43
1990, 88, 43
1997, 557, 43
1997, 369, 43
1998, 757, 43
2003, 535, 43
2001, 1080, 43
2003, 1268, 43
1991, 442, 42
1994, 214, 42
1995, 446, 42
1997, 255, 42
1998, 669, 42
2000, 1228, 42
2005, 1398, 42
1975, 234, 41
1989, 21, 41
1997, 31, 41
2004, 1546, 41
1995, 713, 40
1997, 349, 40
2009, 817, 40
2004, 623, 40
2005, 1362, 40
1994, 344, 39
1985, 86, 39
1990, 318, 39
1991, 131, 39
1998, 715, 39
1991, 335, 39
1997, 739, 38
1994, 369, 38
1997, 590, 38
1974, 157, 38
1982, 82, 38
1984, 241, 38
1993, 53, 38
1997, 643, 38
2001, 43, 38
1997, 673, 38
1994, 600, 38
2005, 1479, 38
1992, 85, 37
1991, 457, 37
1991, 234, 37
1965, 113, 37
1974, 231, 37
1997, 270, 37
2005, 2258, 37
1999, 853, 36
1995, 368, 36
1997, 44, 36
1998, 375, 36
1994, 388, 36
2001, 475, 36
1996, 44, 36
2004, 1001, 36
2003, 1061, 36
2002, 804, 36
1997, 726, 35
1990, 297, 35
1997, 43, 35
1997, 602, 35
2001, 509, 35
1995, 243, 35
2001, 84, 35
2002, 1146, 35
2001, 1792, 35
1991, 321, 34
1997, 468, 34
2001, 961, 34
2003, 595, 34
1991, 400, 33
1992, 86, 33
1996, 680, 33
1997, 779, 33
1990, 321, 33
1996, 461, 33
2001, 539, 33
2000, 238, 33
2007, 589, 33
2007, 331, 33
2002, 365, 33
1993, 482, 32
1997, 117, 32
1996, 34, 32
1997, 678, 32
1999, 801, 32
2011, 1016, 32
2002, 1178, 32
2004, 1203, 32
1996, 146, 31
1996, 638, 31
1992, 315, 31
1995, 310, 31
2003, 498, 31
1989, 24, 30
1964, 296, 30
2001, 497, 30
2000, 1324, 30
2000, 269, 30
2009, 33, 30
2003, 717, 30
2009, 341, 30
2007, 769, 30
2003, 594, 30
2004, 889, 30
2003, 1750, 30
2001, 1800, 30
2001, 1368, 30
2002, 2058, 30
1991, 452, 29
1996, 639, 29
1997, 685, 29
1993, 82, 29
1997, 183, 29
1997, 680, 29
1995, 682, 29
1995, 702, 29
1999, 729, 29
2000, 176, 29
2000, 1127, 29
2011, 887, 29
2003, 1152, 29
2010, 679, 29
2010, 857, 29
2005, 1539, 29
2006, 1592, 29
2003, 1568, 29
1992, 451, 28
1994, 406, 28
1992, 101, 28
1997, 449, 28
1993, 34, 28
1994, 415, 28
1999, 1062, 28
1997, 443, 28
1999, 1152, 28
2008, 888, 28
2007, 1378, 28
2009, 753, 28
2003, 844, 28
1991, 179, 27
1987, 180, 27
1995, 704, 27
1997, 932, 27
1989, 154, 27
1990, 385, 27
1997, 164, 27
1991, 332, 27
1997, 603, 27
1999, 774, 27
2001, 748, 27
2002, 1287, 27
2004, 870, 27
2004, 257, 27
2004, 1800, 27
2003, 1609, 27
2001, 1363, 27
2002, 2052, 27
1992, 84, 26
1993, 344, 26
1997, 1026, 26
1992, 314, 26
1982, 147, 26
1998, 1112, 26
1999, 1001, 26
1997, 184, 26
1996, 542, 26
2006, 935, 26
2001, 1353, 26
2001, 1452, 26
1997, 782, 25
1995, 478, 25
1994, 414, 25
1990, 121, 25
1996, 74, 25
1997, 734, 25
1997, 775, 25
1993, 599, 25
1995, 2, 25
1994, 685, 25
1997, 751, 25
1994, 670, 25
1998, 94, 25
1996, 56, 25
2000, 678, 25
1998, 1116, 25
2000, 717, 25
2004, 1252, 25
2008, 1654, 25
2005, 2104, 25
2005, 565, 25
2010, 842, 25
2005, 1363, 25
2002, 1384, 25
2003, 2124, 25
2002, 1069, 25
1993, 416, 24
1991, 460, 24
1994, 165, 24
1984, 187, 24
1994, 704, 24
1996, 261, 24
1998, 1016, 24
1974, 230, 24
1980, 6, 24
1983, 201, 24
1989, 139, 24
1993, 183, 24
1995, 231, 24
1997, 1082, 24
1996, 199, 24
1999, 928, 24
1998, 628, 24
2000, 700, 24
1999, 399, 24
1999, 1215, 24
1996, 640, 24
2000, 702, 24
1998, 929, 24
2003, 2081, 24
2005, 788, 24
2006, 66, 24
1993, 29, 23
1985, 100, 23
1990, 253, 23
1991, 161, 23
1992, 78, 23
1991, 461, 23
1994, 196, 23
1985, 60, 23
1990, 222, 23
2000, 704, 23
2000, 1251, 23
2000, 26, 23
2001, 301, 23
2009, 1323, 23
2001, 1149, 23
2007, 1238, 23
1990, 149, 22
1991, 128, 22
1988, 135, 22
1990, 422, 22
1997, 933, 22
1997, 780, 22
1998, 607, 22
1997, 591, 22
2000, 665, 22
2001, 508, 22
2001, 538, 22
2000, 1252, 22
2001, 784, 22
2001, 1405, 22
2003, 1651, 22
2003, 1864, 22
2003, 2217, 22
2002, 1515, 22
2003, 79, 22
1989, 180, 21
1993, 78, 21
1997, 686, 21
1994, 25, 21
1994, 355, 21
1994, 421, 21
1995, 701, 21
1999, 412, 21
1999, 484, 21
1997, 677, 21
1999, 1101, 21
1996, 704, 21
1992, 16, 21
2000, 271, 21
1997, 722, 21
1997, 1041, 21
1997, 840, 21
2001, 635, 21
2003, 1608, 21
2009, 800, 21
2005, 727, 21
2007, 818, 21
2003, 424, 21
2011, 657, 21
2011, 696, 21
2004, 626, 21
2006, 1834, 21
2003, 1966, 21
2004, 593, 21
2004, 177, 21
2003, 1143, 21
1997, 971, 20
2000, 5, 20
1983, 203, 20
1995, 692, 20
1996, 395, 20
1997, 569, 20
1995, 390, 20
2000, 1158, 20
1998, 1019, 20
1997, 24, 20
1992, 174, 20
1997, 518, 20
2000, 654, 20
2000, 855, 20
2001, 634, 20
1998, 860, 20
1999, 255, 20
2002, 1070, 20
2008, 1367, 20
2009, 120, 20
2009, 1278, 20
2010, 1578, 20
2001, 924, 20
2005, 1485, 20
2001, 1190, 20
1991, 446, 19
1996, 329, 19
1997, 128, 19
1983, 35, 19
1985, 99, 19
1991, 474, 19
1994, 385, 19
1995, 406, 19
1997, 884, 19
1998, 685, 19
1997, 553, 19
1995, 504, 19
1994, 1, 19
2000, 70, 19
1999, 486, 19
2000, 983, 19
1999, 400, 19
1997, 299, 19
1996, 646, 19
1997, 1104, 19
2000, 548, 19
1999, 935, 19
2000, 28, 19
2001, 45, 19
2008, 1570, 19
2001, 1229, 19
2003, 155, 19
2005, 757, 19
2004, 577, 19
2003, 774, 19
2005, 1110, 19
2004, 535, 19
2004, 1804, 19
2001, 1509, 19
2003, 1652, 19
2008, 1344, 19
1990, 298, 18
1997, 403, 18
1998, 431, 18
1976, 122, 18
1993, 205, 18
1998, 872, 18
1996, 62, 18
1997, 753, 18
1998, 414, 18
1999, 439, 18
2001, 764, 18
2001, 1075, 18
2001, 1354, 18
2008, 1109, 18
2005, 719, 18
2009, 1540, 18
2001, 1150, 18
2003, 1939, 18
2001, 968, 18
1991, 253, 17
1992, 428, 17
1994, 626, 17
1996, 776, 17
1996, 269, 17
1990, 19, 17
1997, 692, 17
1991, 329, 17
1993, 280, 17
1982, 125, 17
1971, 252, 17
1982, 81, 17
1984, 242, 17
1989, 11, 17
2001, 166, 17
2000, 180, 17
2000, 383, 17
2000, 462, 17
1997, 469, 17
1998, 905, 17
1998, 1076, 17
2001, 1805, 17
2008, 416, 17
2003, 2260, 17
2006, 1658, 17
2006, 1700, 17
2005, 1366, 17
2003, 1151, 17
2007, 162, 17
1993, 602, 16
1991, 480, 16
1997, 1086, 16
1991, 31, 16
1991, 80, 16
1986, 193, 16
1991, 492, 16
1995, 288, 16
1994, 70, 16
1996, 621, 16
1998, 758, 16
1997, 724, 16
1997, 942, 16
1996, 636, 16
1996, 357, 16
1997, 1080, 16
2001, 499, 16
2001, 320, 16
2011, 235, 16
2002, 1660, 16
2004, 2407, 16
2003, 2256, 16
2006, 470, 16
2009, 206, 16
2004, 2405, 16
2003, 408, 16
2004, 1954, 16
2003, 1450, 16
2004, 1291, 16
2007, 849, 16
2003, 1176, 16
1998, 310, 15
1996, 465, 15
1984, 275, 15
1997, 152, 15
1986, 202, 15
1998, 930, 15
2000, 1008, 15
1995, 700, 15
1995, 791, 15
1999, 999, 15
1998, 1119, 15
1999, 500, 15
2001, 580, 15
1997, 72, 15
2000, 991, 15
2001, 18, 15
1999, 170, 15
1999, 499, 15
1999, 700, 15
2000, 483, 15
2000, 1100, 15
2000, 1316, 15
2006, 1635, 15
2005, 71, 15
2011, 322, 15
2008, 1316, 15
2002, 1385, 15
2003, 2276, 15
2004, 594, 15
2001, 1069, 15
2005, 1203, 15
2005, 1420, 15
2004, 894, 15
2005, 1537, 15
2006, 1832, 15
2002, 1145, 15
2003, 1865, 15
2003, 1505, 15
2003, 2036, 15
2011, 1378, 15
2002, 1112, 15
1997, 407, 14
1996, 723, 14
1998, 759, 14
1998, 576, 14
1994, 593, 14
1985, 98, 14
1995, 474, 14
1993, 431, 14
1985, 85, 14
1995, 681, 14
1998, 983, 14
1999, 1280, 14
1996, 283, 14
1997, 675, 14
1998, 1015, 14
1996, 177, 14
2000, 543, 14
1999, 596, 14
1999, 777, 14
2008, 1027, 14
2011, 398, 14
2006, 1590, 14
2003, 1142, 14
2005, 1417, 14
2003, 2037, 14
2005, 1438, 14
2007, 1243, 14
2003, 363, 14
2004, 1691, 14
2001, 1117, 14
2006, 1410, 14
2002, 1802, 14
2011, 1707, 14
2001, 1085, 14
1982, 187, 13
1982, 124, 13
1990, 251, 13
1990, 191, 13
1997, 538, 13
1991, 491, 13
1997, 296, 13
1998, 684, 13
1981, 124, 13
1996, 32, 13
1990, 462, 13
1993, 52, 13
1998, 383, 13
1998, 578, 13
1981, 101, 13
1985, 262, 13
1991, 443, 13
1993, 1, 13
1995, 439, 13
1995, 60, 13
1995, 418, 13
1998, 382, 13
1998, 787, 13
1995, 443, 13
1998, 610, 13
1997, 1042, 13
1994, 473, 13
1983, 173, 13
1997, 938, 13
1995, 29, 13
1995, 475, 13
1997, 495, 13
2001, 247, 13
1996, 687, 13
1997, 1079, 13
2001, 627, 13
1997, 555, 13
1997, 688, 13
2000, 1250, 13
1999, 1100, 13
1999, 1236, 13
2001, 679, 13
2011, 808, 13
2008, 1486, 13
2009, 157, 13
2010, 301, 13
2004, 514, 13
2004, 2641, 13
2005, 70, 13
2005, 461, 13
2005, 680, 13
2005, 821, 13
2005, 1181, 13
2005, 1416, 13
2006, 118, 13
2006, 467, 13
2009, 11, 13
2007, 137, 13
2001, 1546, 13
2002, 265, 13
2002, 1102, 13
2003, 1323, 13
2005, 1413, 13
2005, 2205, 13
2007, 766, 13
2002, 1182, 13
2007, 125, 13
2008, 1571, 13
2008, 1308, 13
2002, 2055, 13
1991, 350, 12
1994, 239, 12
1994, 313, 12
1991, 93, 12
1991, 127, 12
1994, 118, 12
1990, 179, 12
1991, 419, 12
1964, 93, 12
1990, 180, 12
1994, 703, 12
2000, 985, 12
1993, 600, 12
1975, 91, 12
1999, 139, 12
1997, 511, 12
1998, 773, 12
1996, 719, 12
1999, 75, 12
1995, 78, 12
1997, 1040, 12
1997, 539, 12
2000, 1156, 12
1974, 280, 12
1996, 335, 12
2001, 452, 12
1997, 733, 12
1999, 885, 12
1997, 55, 12
1997, 357, 12
2000, 1323, 12
2000, 805, 12
2011, 1092, 12
2008, 1112, 12
2009, 299, 12
2009, 918, 12
2009, 989, 12
2009, 1374, 12
2010, 1116, 12
2010, 1363, 12
2010, 1465, 12
2010, 1723, 12
2006, 1043, 12
2009, 59, 12
2005, 1484, 12
2006, 1225, 12
2004, 39, 12
2002, 764, 12
2003, 360, 12
2003, 1035, 12
2003, 1121, 12
2004, 101, 12
2002, 199, 12
2002, 715, 12
2005, 1462, 12
2006, 659, 12
2006, 1009, 12
2006, 1192, 12
2007, 116, 12
2001, 1784, 12
2009, 504, 12
2002, 1824, 12
1992, 359, 11
1967, 110, 11
1982, 215, 11
1993, 629, 11
1989, 190, 11
1982, 230, 11
1984, 184, 11
1990, 431, 11
1993, 184, 11
1991, 28, 11
1971, 114, 11
2000, 1009, 11
1998, 1060, 11
1998, 577, 11
1996, 2, 11
1997, 506, 11
1995, 59, 11
1997, 504, 11
1997, 690, 11
1997, 370, 11
2000, 648, 11
2000, 1092, 11
1996, 459, 11
1971, 115, 11
2000, 1099, 11
1997, 740, 11
1998, 575, 11
1996, 145, 11
2000, 230, 11
2009, 458, 11
2006, 319, 11
2010, 146, 11
2006, 1031, 11
2002, 1208, 11
2009, 545, 11
2010, 530, 11
2011, 440, 11
2009, 1664, 11
2009, 1706, 11
2003, 1935, 11
2008, 1320, 11
2008, 101, 11
2009, 716, 11
2009, 100, 11
2004, 41, 11
2004, 891, 11
2004, 1692, 11
2005, 1298, 11
2005, 1495, 11
2006, 1353, 11
2002, 1849, 11
2004, 75, 11
2004, 871, 11
2005, 98, 11
2007, 662, 11
2002, 1661, 11
2004, 896, 11
2006, 1648, 11
2006, 1647, 11
2007, 664, 11
2008, 1651, 11
2011, 1203, 11
2002, 1957, 11
2002, 1360, 11
1993, 598, 10
1992, 360, 10
1994, 384, 10
1995, 18, 10
1988, 195, 10
1991, 372, 10
1989, 155, 10
1996, 593, 10
1984, 34, 10
1997, 777, 10
1997, 950, 10
1996, 585, 10
1995, 31, 10
1994, 535, 10
1995, 335, 10
1990, 59, 10
1993, 202, 10
1995, 299, 10
1995, 435, 10
1999, 437, 10
1997, 689, 10
1997, 505, 10
2000, 551, 10
1996, 410, 10
1998, 118, 10
1994, 398, 10
1998, 1114, 10
2001, 465, 10
2001, 474, 10
1999, 689, 10
1995, 794, 10
1996, 720, 10
2001, 747, 10
1997, 725, 10
2001, 56, 10
1997, 1084, 10
2000, 701, 10
2000, 1107, 10
2001, 92, 10
2001, 811, 10
2001, 1450, 10
2005, 610, 10
2010, 1700, 10
2011, 432, 10
2010, 620, 10
2009, 1317, 10
2006, 1775, 10
2011, 390, 10
2007, 859, 10
2005, 141, 10
2001, 954, 10
2004, 353, 10
2005, 1493, 10
2007, 343, 10
2003, 592, 10
2002, 1672, 10
2003, 1759, 10
2005, 202, 10
2004, 1783, 10
2004, 2091, 10
2004, 2356, 10
2004, 2384, 10
2005, 185, 10
2005, 1024, 10
2005, 1239, 10
2005, 1478, 10
2006, 466, 10
2004, 2087, 10
2003, 1502, 10
2006, 711, 10
2010, 1307, 10
2007, 432, 10
2009, 39, 10
2009, 1589, 10
2011, 1280, 10
2003, 2273, 10
2002, 655, 10
1990, 541, 9
1991, 151, 9
1992, 20, 9
1993, 180, 9
1994, 285, 9
1990, 506, 9
1997, 732, 9
1986, 180, 9
1989, 107, 9
1989, 443, 9
1989, 250, 9
1997, 723, 9
1998, 1064, 9
1998, 1121, 9
1998, 931, 9
1985, 49, 9
1992, 144, 9
1985, 276, 9
1994, 362, 9
1999, 1279, 9
1996, 268, 9
1996, 493, 9
1997, 1044, 9
1996, 315, 9
1998, 681, 9
1994, 536, 9
1991, 351, 9
1998, 961, 9
1992, 18, 9
2001, 42, 9
2000, 960, 9
1997, 297, 9
1997, 589, 9
1999, 1281, 9
2000, 554, 9
1999, 750, 9
1999, 1216, 9
2000, 649, 9
2007, 426, 9
2007, 1288, 9
2010, 655, 9
2007, 1671, 9
2008, 745, 9
2009, 1075, 9
2007, 272, 9
2003, 2125, 9
2005, 1109, 9
2005, 954, 9
